block_size,accuracy,time
1000,0.7291204856256182,0.015674200000034944
2000,0.782457456604031,0.015179399999965426
3000,0.8068922006615967,0.019575799999984156
4000,0.8138662483374826,0.016439799999943716
5000,0.8190157896531732,0.015067700000031437
6000,0.8422057770350919,0.015379899999970803
7000,0.8632643317532313,0.015538300000002891
8000,0.8809466971319442,0.017344099999945684
9000,0.8886369061828598,0.01862909999999829
10000,0.8960201889301913,0.01983800000004976
11000,0.895781468471848,0.014922399999932168
12000,0.8964464754629472,0.01589560000002166
13000,0.8988507315076902,0.015561300000058509
14000,0.898253930361832,0.018926299999975527
15000,0.8982027759779013,0.017047400000024027
16000,0.9021246120792552,0.01854419999995116
17000,0.9047675885823415,0.02004249999993135
18000,0.9080585206152167,0.015916199999992386
19000,0.9100876445111346,0.016912300000058167
20000,0.9118268935647785,0.01568740000004709
